127.0.0.1, 2023-03-11 14:53:17, GET, /runestone, HTTP/1.1, 500, 0.225666
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/default/ticket/runestone/127.0.0.1.2023-03-11.14-53-17.8ddd0ae8-9476-4d63-b680-250b859332c2, HTTP/1.1, 303, 0.063621
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/default/index, HTTP/1.1, 200, 0.136772
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/js/jquery.js, HTTP/1.1, 200, 0.000286
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/css/calendar.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/js/web2py.js, HTTP/1.1, 200, 0.000274
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/js/calendar.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000404
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001144
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000190
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000135
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000337
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000363
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2023-03-11 14:53:22, GET, /admin/static/_2.23.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000373
